,Activity Name (TO CHANGE TO ACTIVITY CODE),Grounds Requirement,Freq Numeral,Freq Literal,Note on Trigger Condition,Activity Type,Activity Procedure Recommended Action,Trade,Wrench Time (H),Asset Offline?,Resources,Applies to Class,Class ID,Applies to Product-Line,Parent Activity,Specialization from Parent,Children Activity,Comments,Parent ID,Act ID,Failure Mode,Activity Code
142,Wire Mesh Sling: Inspection For Safe Usage,"https://www.notion.so/OSHA-1910-184-Section-1910-184-d-ab378a867d1c432a82a6a393ab9c5fb9, https://www.notion.so/ASME-B30-9-2018-Section-9-3-9-5-f4fbb7f1912a4205a5950164bdaa2bf8",1.0,,,Inspect,"Metal mesh sling should be removed from service in any of the below is found:

a) Missing or illegible sling identification
b) Broken weld or a broken brazed joint along the sling edge
c) Broken wire in any part of the mesh
d) Reduction in wire diameter of 25% due to abrasion or 15% due to corrosion
e) Lack of flexibility due to distortion of the mesh
f) Distortion of the choker fitting so the depth of the slot is increased by more than 10%
g) Distortion of either end fitting so the width of the eye-opening is decreased by more than 10%
h) 15% reduction of the original cross-sectional area of any point around the hook opening of the end fitting
i) Visible distortion of either end fitting out if its plane
j) Cracked end fitting
k) Slings in which the spirals are locked or without free articulation shall not be used
f) fittings that are pitted, corroded, cracked, bent, twisted, gouged or broken
g) Other conditions, including visible damage, that cause doubt as to the continued use of the sling",Contractor,,ASPOM decides,,,,,,,,,,9615c395bdc54194a7e265b45b170972,,
143,Wire Mesh Sling (alloy steel chain slings): Inspection Frequency Verification,,1.0,Year,,Inspect,"In addition to the inspection of complete wire mesh sling, a thorough periodic inspection of alloy steel chain slings in use shall be made on a regular basis, to be determined on the basis of 
(A) frequency of sling use; 
(B) the severity of service conditions; 
(C) nature of lifts being made; and 
(D) experience gained on the service life of slings used in similar circumstances. Such inspections shall in no event be at intervals greater than once every 12 months.",APSOM,0.15,ASPOM decides,,,,,,,,,,b63e04a4e60f462194cb8d7567168536,,
144,Fall Protection ,https://www.notion.so/CSA-Z259-17-16-Section-12-3-14d6f815a6cd460ea846f777636288d0,1.0,Year,,Inspect,"CSA Z259.17-16 
12.3
Employers shall ensure a competent person performs an annual documented inspection of all fall-protection equipment and systems. More frequent inspections might be required if specified by the manufacturer of design engineer. The intervals specified in Table 5 for each item shall apply n the absence of such recommendations. Equipment used under harsh conditions or higher frequency of use shall be inspected more frequently than specified in Table 5.
12.7
A record shall be created for each active fall-protection equipment and system. The record shall include the following:
a) the details specified in Table 6
b) Documentation on the maintenance and servicing history of all equipment, which shall be readily available until the equipment is permanently removed from service.",Contractor,,,,,,,,,,,,5d0aa5f210d64ba19afed46f78623216,,
145,Emergency Eyewash Station- plumbed,,1.0,Week,,Inspect,"1) Follow the ""Weekly Emergency Eyewash Station Maintenance Checklist"" SP O5 Appendix A to perform the inspection.[http://insideto.toronto.ca/clusterb/hr/hns/files/safety-procedures/eyewash-inspection-checklist.pdf]
2) Complete the required information in the checklist including the date and initials of the person performing the inspection.
3) If any questions in the checklist resulted in a negative answer, correct the issue yourself if you can. If not, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.
4) Report any obstructions, damage, improper flow, or potential problems to the area supervisor.",PT,0.25,No,,,,,,,,,,f6a881308a9247d8adc094b70d4ed9a8,,
146,Emergency shower - plumbed,,1.0,Week,,Inspect,"1) Inspect all the items listed below for the emergency shower- plumbed:
- Equipment safety sign is highly visible and area around Equipment is well lit
- Have instructions for its use or treatment displayed on the flushing Equipment or as near as practical
- Light bulbs and Light fixtures are in working condition
- Check inspection tag card present, initialed, and up-to-date
- Nozzles, dust caps and/or covers are in place
- No damage or cracks to the unit
- No signs of corrosion or leaking water around the unit
- No dirt or debris (dust or clean when needed - No chemical cleaners should be used)
- Pull rod, push flag, or other parts of the unit are in a functional, usable state
- Activate/run water for 2-3 mins weekly; ensure proper flow and water does not appear dirty or cloudy
- Adequate water pressure and flow (not erratic), constant until returned to resting position
- Anti-slip flooring is in place where drainage is insufficient or non-existent
- Flow removes eyepiece covers/ nozzle caps
- Water drains properly from the basin/sink. 
- Water temperature is ""tepid"" (16 - 38 degrees C)
2) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",PT,0.25,No,,,,,,,,,,0f13c103c8c04d048741bd14538c04fb,,
147,Emergency shower- portable/self-contained,,1.0,Week,,Inspect,"1) Inspect all the items listed below for the emergency shower- portable/self contained:
- Equipment safety sign is highly visible and area around Equipment is well lit
- Have instructions for its use or treatment displayed on the flushing Equipment or as near as practical
- Light bulbs and Light fixtures are in working condition
- Check inspection tag card present, initialed, and up-to-date
- Nozzles, dust caps and/or covers are in place
- No damage or cracks to the unit
- No signs of corrosion or leaking water around the unit
- No dirt or debris (dust or clean when needed � No chemical cleaners should be used)
- Pull rod, push flag, or other parts of the unit are in a functional, usable state
- Fluid is in a sealed container and valid for use (expiration date)
- Fluid is at the proper fill line
- Manufacturer's instructions for operation and maintenance are readily available2) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",PT,0.25,No,,,,,,,,,,8ea343c7143548b0b48583e1227c7851,,
148,Emergency Eyewash Station- portable/self-contained ,,1.0,Week,,Inspect,"1) Inspect all the items listed below for the emergency eyewash station- portable:-
- Equipment safety sign is highly visible and area around Equipment is well lit
- Have instructions for its use or treatment displayed on the flushing Equipment or as near as practical
- Light bulbs and Light fixtures are in working condition
- Check inspection tag card present, initialed, and up-to-date
- Nozzles, dust caps and/or covers are in place
- No damage or cracks to the unit
- No signs of corrosion or leaking water around the unit
- No dirt or debris (dust or clean when needed � No chemical cleaners should be used)
- Pull rod, push flag, or other parts of the unit are in a functional, usable state
- Fluid is in sealed container and valid for use (expiration date)
- Fluid is at the proper fill line
- Manufacturer's instructions for operation and maintenance are readily available
2) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",PT,0.25,No,,,,,,,,,,1ae0fe8ad7194f47b089f0b191132b6a,,
149,Personal Eyewash- Portable ,https://www.notion.so/ANSI-Z358-1-2014-Section-1aa250e630f941c0b261564ac8b3226f,1.0,Week,,Inspect,"1) Inspect all the items listed below for the personal eyewash:-
- Equipment safety sign is highly visible and area around Equipment is well lit
- Have instructions for its use or treatment displayed on the flushing Equipment or as near as practical
- Ensure unit is protected from freezing and is not exposed to temperatures over 38 degrees C
- Ensure unit has the capacity to deliver immediate flushing fluid without being injurious to the user
2) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",PT,0.25,No,,,,,,,,,,36d807bce2cc488fa1b5919a8be96288,,
150,Combination eyewash/shower- plumbed,,1.0,Week,,Inspect,"1) Inspect all the items listed below for the combination eyewash/shower- plumbed:-
- Equipment safety sign is highly visible and the area around Equipment is well lit
- Have instructions for its use or treatment displayed on the flushing Equipment or as near as practical
- Light bulbs and light fixtures are in working condition
- Check inspection tag card present, initialed, and up-to-date
- Nozzles, dust caps, and/or covers are in place
- No damage or cracks to the unit
- No signs of corrosion or leaking water around the unit
- No dirt or debris (dust or clean when needed - No chemical cleaners should be used)
- Pull rod, push flag, or other parts of the unit are in a functional, usable state
- Activate/run water for 2-3 mins weekly; ensure proper flow and water does not appear dirty or cloudy
- Adequate water pressure and flow (not erratic), constant until returned to resting position
- Anti-slip flooring is in the place where drainage is insufficient or non-existent
- Flow removes eyepiece covers/ nozzle caps
- Water drains properly from the basin/sink. 
- Water temperature is ""tepid"" (16 - 38 degrees C)
2) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",PT,0.25,No,,,,,,,,,,2bf5b33bc08342d391d7b4f21cff6373,,
151,Combination eyewash/shower- portable/self-contained,,1.0,Week,,Inspect,"1) Inspect all the items listed below for the combination eyewash/shower- portable/self-contained:-
- Equipment safety sign is highly visible and the area around Equipment is well lit
- Have instructions for its use or treatment displayed on the flushing Equipment or as near as practical
- Light bulbs and light fixtures are in working condition
- Check inspection tag card present, initialed, and up-to-date
- Nozzles, dust caps, and/or covers are in place
- No damage or cracks to the unit
- No signs of corrosion or leaking water around the unit
- No dirt or debris (dust or clean when needed - No chemical cleaners should be used)
- Pull rod, push flag, or other parts of the unit are in a functional, usable state
- Fluid is in a sealed container and valid for use (expiration date)
- Fluid is at the proper fill line
- Manufacturer's instructions for operation and maintenance are readily available
2) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",PT,0.25,No,,,,,,,,,,5683182503ea4cad94456f997dfc3e58,,
152,Chemical Suit: Inspection For Safe Usage Condition,https://www.notion.so/ASTM-F1052-14-Section-4-2-709de60004b44d8bb1b622a248d2b212,1.0,Year,,Inspect,"Pressure testing of vapor protective suits should be conducted at a frequency recommended by the manufacturer but no less often than upon receipt of the garments after each wearing if the suit is to be reused, and at least annually thereafter. 
Pressure Test and Inspection of the level 'A' front entry suit
1. Check the bag for any damage
2. Check the Bog zipper is moving freely
3. Check the expiry date of the suit
4. The suit should be pressure tested and inspected by the manufacturers every 1 year
Note: If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Contractor,,No,,,,,,,,,,333385d9a07f4814a077bf668152f448,,
153,Spill Kit: Inspection For Safe Usage Condition,https://www.notion.so/Ontario-Regulation-224-Section-SPILL-PREVENTION-AND-CONTINGENCY-PLANS-288abb434fc6437096f5c0327a7a79c5,3.0,Month,,Inspect,"Inspect and ensure spill kit is sealed. If seal is broken, verify contents, replenish and re-seal.",PT,0.25,No,,,,,,,,,,7c8506b0636e4b9695f7d40afa6f98ef,,
154,Forklift: Hourly,https://www.notion.so/Ontario-Regulation-851-90-Section-51-1-b-66b52dd8077b4725bc183b998d66c207,200.0,Metered Run-Hour,,Inspect,"O. Reg 851 S 51 (1) - A lifting device shall be, 
(b) thoroughly examined by a competent person to determine its capability of handling the maximum load as rated
i) prior to being used for the first time, and
ii) thereafter as often as necessary but not less frequently than recommended by the manufacturer and in any case, at least once a year, and a permanent record shall be kept, signed by the competent person doing the examination. 
Refer to General Inspection Requirements Document for Detail
Note: If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Contractor,,No,,,,,,,,,,a56b5da3bf834c29a73bc7c29660eea9,,
155,Gaseous Fuel Handling Valves,,1.0,Year,,Verification,"In addition to the inspection required by the manufacturer or legislation, the plant should determine if the frequency of the inspection needs to be increased on the basis of, 
- frequency of usage
-the severity of service condition
-experience gained on the service life of slings used in similar circumstances",APSOM,0.25,No,,,,,,,,,,f003d13633e448438d688680ccea1290,,
156,Gaseous Fuel Handling Valves,https://www.notion.so/CSA-B149-6-20-Section-13-6-0fc312ebc7ea4d5c91e802e5c48437dc,1.0,Year,,Inspect,"Valves that are necessary for the safe operation of the digester das system shall be checked and serviced, including lubrication when necessary, at intervals sufficiently frequent to ensure their satisfactory operation. The frequency of such checking and servicing shall be Identified in the written instructions specified in Clause 13.1.2
O.Reg 212
Duty to maintain safe operating condition
15. An owner or user of an appliance, equipment, a work or any other thing employed in the handling or use of gas shall ensure that the appliance, equipment, work or thing employed in the handling or use of gas is maintained in a safe operating condition. O. Reg. 212/01, s. 15",PT,0.15,No,,,,,,,,,,7fde951badb44063af40a7332d83a24b,,
157,Gaseous Fuel Handling drip-trap Inspection Frequency Verification,https://www.notion.so/CSA-B149-6-20-Section-13-8-afcdf82b83e64d509fdabe6307c517a0,1.0,Year,,,"In addition to the inspection required by the manufacturer or legislation, the plant should determine if the frequency of the inspection needs to be increased on the basis of, 
- frequency of usage
-the severity of service condition
-experience gained on the service life of slings used in similar circumstances",APSOM,0.15,No,,,,,,,,,,8bc83648fedc436a9a4afa3bc38d62f8,,
158,Gaseous Fuel Handling drip-trap: PM to Ensure Continuous Operation,https://www.notion.so/CSA-B149-6-20-Section-13-8-afcdf82b83e64d509fdabe6307c517a0,,,,,"A continuous-flow-type drip trap, including associated vent/siphon breaker piping and drain line, shall be kept clean at all times to ensure continuous operation. 
- A periodic inspection and maintenance schedule shall be established and include the following:
a) ensuring that the water level is at a proper operating height: and
b) checking for continuous flow (trickling) of separated water to drain.  

Duty to maintain safe operating condition
15. An owner or user of an appliance, equipment, a work or any other thing employed in the handling or use of gas shall ensure that the appliance, equipment, work or thing employed in the handling or use of gas is maintained in a safe operating condition. O. Reg. 212/01, s. 15",PT,0.25,No,,,,,,,,,,8f278f66db2e4ef9a69441f3a755623e,,
159,Gaseous Fuel Handling compressor and Pressure relive device,,1.0,Year,,,"In addition to the inspection required by the manufacturer or legislation, the plant should determine if the frequency of the inspection needs to be increased on the basis of, 
- frequency of usage
-the severity of service condition
-experience gained on the service life of slings used in similar circumstances",APSOM,0.15,No,,,,,,,,,,8b100bc7c55d4e0885265bc8997ae56e,,
160,Gaseous Fuel Handling compressor and Pressure relive device,https://www.notion.so/CSA-B149-6-20-Section-13-5-1-a263508afda54417a89ef92ea9aaca17,1.0,Year,,,"For inspection and test purposes, all compressors, relief devices, and pressure limiting equipment shall be subjected to at least annual inspection and to such tests as are necessary to determine that
a) they are in good working condition;
b) they are adequate from the standpoint of capacity and reliability of operation for the service in which they are employed;
c)they are properly installed and protected from dirt, liquids, or other conditions that might prevent proper and safe operation; and
d) the relief devices are set to function at the correct pressure.

- Regularly scheduled inspections shall be made of each housing containing pressure-limiting equipment or relief devices to determine whether the housing is in the good physical condition and adequately vented. The condition of the housing access opening shall be examined to ensure that they do not present a safety hazard. 
- Records of the inspections and tests specified above shall be maintained, as well as records of all corrective actions taken.",PT,0.25,No,,,,,,,,,,bb984fde70e64fe4ac4a5de7e9c5c82b,,
161,Pressure Vessel,,1.0,Year,,,,Contractor,,,,,,,,,,,,6460d3ddc1b74a51bca8c39dad20aadc,,
162,Pressure Vessel,,3.0,Year,,Inspect,,Contractor,,,,,,,,,,,,b941b9fc81ba4203ade9611f196742ab,,
163,Pressure Vessel: All Pressure Vessel: Pressure Vessels and Piping systems,,,As Per Usage,,Inspect,"1.37 c. Pressure vessels and piping systems
i. steam service, shall be serviced every 5 years; where annual lift tests are conducted from the beginning of the service interval, servicing may be
extended to a maximum of 8 years,
ii. air service, shall be serviced every 5 years; where annual lift tests are conducted from the beginning of the service interval, servicing can be extended to a maximum of 10 years,
iii. Anhydrous ammonia; flammable, cryogenic and dry; flammable non-corrosive, non-toxic, non-fouling gases shall be serviced every 5 years,
iv. Non-flammable cryogenic and dry; non-flammable non-corrosive, non-toxic, non-fouling gases shall be serviced every 5 years; servicing may be extended to every 10 years if system pressure testing is performed every 5 years,
",Contractor,,,,,,,,,,,,486e36130fb14c7187706e35ca2ae62c,,
164,Piping System,,2.0,Year,,Test,Perform a manual lift test or system test of the piping system.,Contractor,,,,,,,,,,,,b8b268d895ec489b869cfaec9f9a3ec3,,
165,,,6.0,Year,,Service,Service the piping system. ,Contractor,,,,,,,,,,,,a6ed25cc523441209612630f92793f85,,
166,,,5.0,Year,,Service,Service the piping system. ,Contractor,,,,,,,,,,,,3556f6d71a684f40b72c2d7e4523fc6f,,
167,Drench Hose- Plumbed,,1.0,Week,,Inspect,"1) The inspection shall be performed by a qualified person. Items to be inspected shall include, but not limited to, the following:
- Equipment safety sign is highly visible and the area around Equipment is well lit
- Have instructions for its use or treatment displayed on the flushing Equipment or as near as practical
- Light bulbs and light fixtures are in working condition
- Check inspection tag card present, initialed, and up-to-date
- Nozzles, dust caps, and/or covers are in place
- No damage or cracks to the unit
- No signs of corrosion or leaking water around the unit
- No dirt or debris (dust or clean when needed - No chemical cleaners should be used)
- Pull rod, push flag, or other parts of the unit are in a functional, usable state
- Activate/run water for 2-3 mins weekly; ensure proper flow and water does not appear dirty or cloudy
- Adequate water pressure and flow (not erratic), constant until returned to resting position
- Anti-slip flooring is in a place where drainage is insufficient or non-existent
- Flow removes eyepiece covers/ nozzle caps
- Water drains properly from the basin/sink. 
- Water temperature is ""tepid"" (16 - 38 degrees C)
2) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",PT,0.25,No,,,,,,,,,,df439f4843cb4555929cafbf623ae55e,,
168,Drench Hose- Portable/self-contained,,1.0,Week,,Inspect,"1) The inspection shall be performed by a qualified person. Items to be inspected shall include, but not limited to, the following:
- Equipment safety sign is highly visible and the area around Equipment is well lit
- Have instructions for its use or treatment displayed on the flushing Equipment or as near as practical
- Light bulbs and light fixtures are in working condition
- Check inspection tag card present, initialed, and up-to-date
- Nozzles, dust caps, and/or covers are in place
- No damage or cracks to the unit
- No signs of corrosion or leaking water around the unit
- No dirt or debris (dust or clean when needed - No chemical cleaners should be used)
- Pull rod, push flag, or other parts of the unit are in a functional, usable state
- Fluid is in a sealed container and valid for use (expiration date)
- Fluid is at the proper fill line
- Manufacturer's instructions for operation and maintenance are readily available
2) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",PT,0.25,No,,,,,,,,,,da051b47dc1a41869dcb6cd78eebebaf,,
169,Fixed Crane,https://www.notion.so/Ontario-Regulation-851-90-Section-51-1-b-4383725d390e44519d1894276d64710d,1.0,Year,,Inspect,"A lifting device shall be, 
(b) thoroughly examined by a competent person to determine its capability of handling the maximum load as rated
i) prior to being used for the first time, and
ii) thereafter as often as necessary but not less frequently than recommended by the manufacturer and in any case, at least once a year, and a permanent record shall be kept, signed by the competent person doing the examination. 
",Contractor,,No,,,,,,,,,,6953615380794822aeda42b7d44ec99f,,
170,Elevating Work Platform,,3.0,Month,,Inspect,"Note: The inspection must meet the requirements of TSSA: Elevating Devices - Code Adoption Document Amendment (May 3 2019) and Ontario Regulation 851/90.

1) The inspection shall be performed by a qualified person. Items to be inspected shall include, but not limited to, the following:

(a) loose bolts, nuts, and pins;
(b) hydraulic oil filter for cracks and leaks, metal chips or pieces on the filter that may denote failure in the pumps, motors, cylinder, evidence of rubber particles on the filter element that may indicate deterioration of hose, O-ring, or other rubber components;
(c) fuel filter for function;
(d) fan belts for adjustments and excessive wear;
(e) hydraulic hoses for cracks, leaks, and blistering and evidence of excessive abrasion on all flexible and rigid hoses;
(f) hydraulic pumps and motors for cracks or leaks, leaks at joints, seal leaks, loss of operation speed, excessive heating of fluid, and loss of pressure;
(g) hydraulic cylinders for drifting caused by fluid leak across the holding valve or the piston, rod seal leakage, scored and nicked cylinder rods, dented barrel, and unusual noises or vibration'
(h) all control mechanisms for wear and response time;
(i) interlocks, slope warning system, and limit switches;
(j) all chain and cable mechanisms;
(k) other items as specified by the manufacturer;

2) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.
",Contractor,,No,,,,,,,,,,5e97ce81a251494f891a881ec0fcca18,,
171,Elevating Work Platform,,1.0,Year,,Inspect,"The inspection must meet the requirements of TSSA: Elevating Devices - Code Adoption Document Amendment (May 3 2019) and Ontario Regulation 851/90.
1) An annual inspection shall be performed by a qualified person. Items to be inspected shall include, but not limited to, the following:
(a) outrigger and outrigger housing (boxes), including the condition and torque of the ring gear bolts;
(b) platform rotating, elevating, and leveling mechanisms;
(c) main turret rotating mechanism, including the condition and torque of the ring geat bolts;
(d) brakes;
(e) all tie-down points;
(f) boom section, pins, cylinder rod ends, and leveling devices;
(g) switches for wiring and all electrical connections;
(h) manufacturer's outstanding safety bulletins;
(i) other items as specified by the manufacturer;
2) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Contractor,,No,,,,,,,,,,04828026949648d480d351f79b15c59e,,
172,Elevating Work Platform,,1.0,Year,,Inspect,"In addition to the inspection required at every 12 months, the plant should determine if the frequency of the inspection needs to be increased.",Contractor,,No,,,,,,,,,,d48eda8094f941039e2b8ac79eb8295c,,
173,Scaffold: Inspection for Safe Use ,"https://www.notion.so/CSA-Z797-18-Section-8-4-9e69687eb1b245fdb29d9693b4aec2ec, https://www.notion.so/CSA-Z797-18-Section-8-3-b1d96ed5903244f09f7ac468c08bd6c3",,Pre-use,,Inspect,"1) Follow the ""Check the following before using scaffolding"" section in the ""Scaffolds"" (SP 21) procedure for this activity. [ http://insideto.toronto.ca/clusterb/hr/hns/files/safety-procedures/scaffolds-procedure.pdf ]
2) Perform the inspection of the scaffold prior to every use. Perform the inspection using the ""Scaffold Equipment Pre-Use Inspection"" checklist (SP 21 a) [ http://insideto.toronto.ca/clusterb/hr/hns/files/safety-procedures/scaffold-inspection-checklist.pdf ]
3) Complete the inspection record with the date, person name, and all other required information. ",PT,0.25,No,,,,,,,,,,a65e0b383eb04e5bb5edcb899edd6787,,
174,Scaffold,,,Pre First Use,,Inspect,"1) Prior to being placed into service, an engineered scaffold shall be inspected by the person responsible for the design drawings or their delegate to ensure compliance with the Standard (Z797-09) and the design drawings. A record of the inspection shall be kept in accordance with clause 8.6.",Contractor,,No,,,,,,,,,,511fd0f4dee041199f5372bf1093c6af,,
175,Scaffold: Inspection Frequency,https://www.notion.so/Ontario-Regulation-213-91-Section-132-1-27afcf1edd124265b010b8edac9cc2d0,1.0,Year,,Inspect,"132. (1) A professional engineer shall inspect and give a written opinion as to the structural adequacy of a centre pole scaffold used in silo construction when required by subsection (2). O. Reg. 213/91, s. 132 (1).

(2) An inspection shall be performed on the earlier of,

(a) the twenty-fourth time the scaffold is erected following the most recent inspection; or

(b) for a scaffold used in the construction of,

(i) a monolithic silo, two years after the scaffold is erected or after the most recent inspection, and

(ii) a stave silo, one year after the scaffold is erected or after the most recent inspection. O. Reg. 213/91, s. 132 (2).

(3) The employer responsible for constructing the silo shall keep with a scaffold every written opinion by a professional engineer concerning the scaffold while it is in use on a project. O. Reg. 213/91, s. 132 (3).

(4) The employer responsible for constructing the silo shall record information about the frequency of use of the scaffold in a log book which shall be kept with the scaffold while it is in use on a project. , s. 132 (4).",Contractor,,No,,,,,,,,,,188e5dc48cdd4f888dc24b3409fefe4e,,
176,Scaffold: PM Data Recording,https://www.notion.so/CSA-Z797-18-Section-8-6-699f11300e074ab29566faaf51f4f572,,Pre-use,,Inspect,"The following shall be readily available at the site where the scaffold is located:
a) records of all inspections
b) design or erection drawings (as applicable), manufacturer's specifications, and supplier's literature.

If any of the above documentation or records are missing contact supervisor and resolve the issue. ",APSOM,,,,,,,,,,,,764f6dc94c714d909e26c2b2782be9f5,,
177,Fixed Crane,https://www.notion.so/CSA-B167-16-Section-6-4-2-e718332fd61241d183067953feca4f25,1.0,Year,,Inspect,"The frequent inspection shall be conducted according to the manufacturer's instructions for inspections. At a minimum, the components listed in items a) to h) shall be inspected during the frequent inspection. Procedures for frequent inspections carried out by maintenance in the field. Defects, malfunctions, and damage found during the inspection of items a) to h) shall be addressed by a competent person. Frequent inspections shall include
a) all operational functions;
b) lines, tanks, valves, pumps, and  other parts of air of hydraulic systems (for leakage);
c) hooks, for deformations, wear or cracking;
d) hook, latches, where present;
e) hoist ropes or load chains;
f) limit devices, for proper functioning;
g) function labels for the operator; and
h) brakes.
",Contractor,,No,,,,,,,,,,28d4c40780094f97a9ff3b8920d96044,,
178,Fixed Crane,,1.0,Year,,Coordinate," In addition to the inspection required every 12 months, the plant should determine if the frequency of the inspection needs to be increased.

",Ind Mill,0.15,No,,,,,,,,,,6e376138b50244b4a53831e3e1db73e1,,
179,Fixed Crane: Inspection,https://www.notion.so/CSA-B167-16-Section-6-5-2-f091049861c941b79d38dc77967cead0,,,,,"Perform inspection as per CSA B167-16 section 6.5.2.
6.5.2 Inspection targets for periodic inspection
6.5.2.1 General Deficiencies shall be examined to determine whether they can affect the safe operation of the crane. At a minimum, the inspection shall include the items specified in Clause 6.4.2 (frequent inspections) as well as inspection for the following deficiencies:
a) deformed, cracked, or corroded members (e.g., transmission shaft);
b) missing or visibly loose bolts in the supporting structure;
c) cracked welds;
d) sheaves and drum cracks, distortion, and wear;
e) worn, corroded, cracked, or distorted parts such as pins, exposed or open bearings, bushings, shafting, couplings, gears, bumpers, and trolley stops;
f) glazing, scoring, warping, contamination, or wear of electrical and mechanical brakes;
g) visible damage to hooks, retaining nuts, and safety latches;
h) deformed or worn hooks (for compliance with the manufacturer's recommendations);
i) evidence of pitting or deterioration of electrical contacts;
j) interference with the free operation of buttons and controls;
k) damaged insulation on the electrical wire, cables, and controls;
I) damaged, deformed, or misaligned festoon system or bus bars;
m) malfunction of heaters (e.g., gearbox, brake, or motor heaters), as can be determined without disassembly;
n) inadequate performance or reliability of the limit switch;
o) worn and/or damaged trolley and bridge wheel assemblies;
p) cracked, distorted, or worn guided rollers (e.g., on rack and pinion hoist, on trolleys or bridges);
q) malfunction controlled lowering motion;
r) wear, cracks, or corrosion of wire rope, load chain, end clamps, or rope clips; Note: Annex 6 outlines inspection criteria for wire rope.
s) rope reeving (for compliance with crane manufacturer's specifications);
t) safeguards and shields for moving equipment;
u) legibility of critical marks and labels (e.g., warning signs, rated load labels);
v) inadequate oil level (e.g., gearbox oil or hydraulic reservoir oil); and
w) corroded, cracked, or distorted lower blocks.",,,No,,,,,,,,,,019447a70abb4da88342eec6dfdbca4f,,
180,Fixed gas detector: Inspection For Safe Usage Condition,https://www.notion.so/fixed-gas-detector-Section-b44dcd3735a3424cb4bb33e7d0880c5c,1.0,Year,,Inspect,"Perform Accuracy check
Test functioning of chlorine/SO2 gas detectors and alarms as follows:
1) Ensure you have operational approval before performing this task.
2) Disable the scrubber alarm.
3) Using a test gas, expose the sensor to CL2/SO2 (5 ppm).
4) Check that the appropriate sensor indicates on the receiver.
5) Press Accept / Reset button at receiver to clear alarm.
6) If the sensor has failed, initiate an immediate to replace/repair the sensor and capture repair information in a corrective work order in WMS.
7) Enable the scrubber alarms.
8) Verify PCS functionality and associated alarms, as applicable.
9) Inform operations that the task as assigned is completed.",PT,0.25,No,,,,,,,,,,4ab1dad32b364b62a989ee0bc1879e62,,
181,Personal Gas Meter,https://www.notion.so/Ontario-Regulation-632-05-Section-18-2a667c7563204f3cb201df17cf8fe586,6.0,Month,,Inspect,"O.Reg 632/05
Atmospheric testing
18. (1) The employer shall appoint a person with adequate knowledge, training and experience to perform adequate tests as often as necessary before and while a worker is in a confined space to ensure that acceptable atmospheric levels are maintained in the confined space in accordance with the relevant plan. O. Reg. 632/05, s. 18 (1).

(3) The person performing the tests shall use calibrated instruments that are in good working order and are appropriate for the hazards identified in the relevant assessment. O. Reg. 632/05, s. 18 (3).

Personal and portable gas monitors which have a sensor that fails the bump test and/or calibration, shall be removed from service and sent for repair or calibration.

A monitor shall be calibrated:
- When a bump test fails;
- Every 6 months at minimum; and/or
- When a monitor has been exposed to extreme conditions (e.g., dropped, electrical shock, high gas concentrations, or extreme temperatures)",Contractor,,No,,,,,,,,,,1f721524252045ae8e8ad3f17ce6e6e8,,
182,,,,,,,,,,,,,,,,,,,,282f8b80c31d47348242112c92962eb3,,
183,Personal gas meter (detector): Test Data Record,https://www.notion.so/Ontario-Regulation-632-05-Section-18-2a667c7563204f3cb201df17cf8fe586,,Pre-use,,Record,"Note: In this section, “sample” means an individual reading of the composition of the atmosphere in the confined space; “test” means a collection of samples. 

- Ensure that the results of every sample of a test of the personal gas detector are recorded.
- If the tests are performed using continuous monitoring, the employer shall ensure that test results are recorded at adequate intervals.
",,,,,,,,,,,,,d3faddfebe6a4b91a3e2ee9c9a7e63ba,,
184,Manlift: Maintenance Log,"https://www.notion.so/CSA-B311-1984-R2002-Section-Appendix-C2-8cfc82a567d9411d9c76e4eedc1d4f0f, https://www.notion.so/CSA-B354-1-04-Section-5-3-2-ece1881b7f454457a51e059906e658e6",,,,Generate,The owner should keep a record of the man lift maintenance checks in the form of a log in which all entries are signed by the person who carried out the checks.,APSOM,0.15,No,,,,,,,,,,8d93d718ece24469a10db28edbfc7cec,,
